edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud,informal_2024
42,1764,6.0,30.0,6,600000.0,9.0,1,0,1,0
28,784,2.0,30.0,6,400000.0,4.0,0,1,0,0
41,1681,12.0,30.0,5,600000.0,9.0,0,1,1,0
44,1936,12.0,30.0,2,850000.0,9.0,0,1,1,0
33,1089,12.0,30.0,2,100000.0,1.0,1,1,1,0
53,2809,6.0,45.0,4,800000.0,10.0,1,0,1,0
30,900,7.0,45.0,4,300000.0,2.0,0,0,0,0
25,625,8.0,45.0,4,700000.0,9.0,1,0,1,0
36,1296,7.0,32.0,4,800000.0,1.0,0,1,0,0
53,2809,15.0,45.0,2,1200000.0,11.0,1,0,1,0
21,441,12.0,45.0,2,800000.0,11.0,1,0,1,0
44,1936,17.0,60.0,3,3000000.0,12.0,0,1,1,0
30,900,12.0,9.0,4,1200000.0,8.0,0,0,1,0
41,1681,11.0,8.0,1,100000.0,1.0,0,0,0,0
57,3249,11.0,12.0,4,150000.0,5.0,0,1,0,0
55,3025,11.0,12.0,4,100000.0,1.0,1,1,0,0
43,1849,12.0,0.0,2,740000.0,10.0,1,1,1,0
42,1764,6.0,0.0,2,740000.0,10.0,1,1,1,0
39,1521,12.0,49.0,3,1800000.0,12.0,1,1,1,0
30,900,15.0,84.0,2,1400000.0,9.0,0,1,1,0
49,2401,12.0,45.0,4,2500000.0,12.0,0,1,1,0
28,784,8.0,30.0,4,900000.0,6.0,0,1,1,0
38,1444,7.0,30.0,6,500000.0,1.0,0,1,0,0
51,2601,17.0,30.0,1,1200000.0,11.0,1,0,1,0
50,2500,6.0,72.0,4,400000.0,4.0,0,1,1,0
25,625,15.0,72.0,4,800000.0,11.0,1,0,1,0
30,900,15.0,20.0,3,600000.0,7.0,0,1,1,0
49,2401,12.0,30.0,2,600000.0,9.0,1,1,1,0
44,1936,17.0,61.0,3,1500000.0,7.0,0,1,1,0
57,3249,6.0,30.0,3,700000.0,9.0,0,0,1,0
31,961,15.0,24.0,1,350000.0,3.0,1,0,1,0
35,1225,15.0,30.0,3,800000.0,9.0,1,0,1,0
51,2601,12.0,35.0,3,900000.0,11.0,1,0,1,0
62,3844,6.0,48.0,2,800000.0,3.0,0,1,1,0
29,841,17.0,26.0,2,500000.0,4.0,1,1,1,0
28,784,12.0,26.0,2,1612000.0,9.0,0,1,1,0
36,1296,17.0,30.0,2,2000000.0,1.0,0,1,1,0
34,1156,17.0,30.0,2,3000000.0,1.0,1,1,1,0
67,4489,19.0,25.0,1,800000.0,6.0,1,0,1,0
34,1156,11.0,40.0,4,1000000.0,10.0,0,1,1,0
34,1156,12.0,40.0,4,1145000.0,9.0,1,1,1,0
59,3481,17.0,44.0,3,600000.0,2.0,0,1,1,0
61,3721,6.0,24.0,4,560000.0,1.0,0,0,0,0
70,4900,12.0,40.0,1,2500000.0,2.0,0,0,1,0
43,1849,12.0,54.0,1,980000.0,10.0,0,0,1,0
33,1089,15.0,31.0,3,800000.0,9.0,1,0,1,0
45,2025,13.0,30.0,5,1500000.0,9.0,1,1,1,0
43,1849,12.0,30.0,5,1500000.0,9.0,0,1,1,0
50,2500,9.0,16.0,5,1400000.0,8.0,0,1,1,0
41,1681,12.0,48.0,3,1000000.0,5.0,0,1,1,0
49,2401,12.0,25.0,5,400000.0,2.0,0,1,1,0
