edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud
38,1444,12.0,30.0,4,604900.0,3.0,0,1,1
40,1600,15.0,30.0,4,420800.0,10.0,1,1,1
53,2809,15.0,45.0,4,2498500.0,11.0,0,1,1
50,2500,15.0,45.0,4,920500.0,12.0,1,1,1
39,1521,12.0,40.0,3,591750.0,8.0,0,1,1
22,484,14.0,24.0,3,469455.0,5.0,0,0,0
60,3600,6.0,24.0,3,578600.0,5.0,0,1,0
43,1849,17.0,22.0,4,328750.0,9.0,1,1,1
38,1444,6.0,40.0,6,473400.0,6.0,0,1,0
32,1024,6.0,40.0,6,102570.0,8.0,1,1,0
47,2209,16.0,43.0,5,539150.0,6.0,1,1,1
52,2704,13.0,43.0,5,526000.0,1.0,0,1,1
29,841,12.0,48.0,4,1315000.0,11.0,0,1,1
41,1681,14.0,0.0,3,894200.0,9.0,1,0,1
35,1225,17.0,48.0,2,2367000.0,1.0,0,1,1
58,3364,6.0,48.0,1,460250.0,4.0,1,0,0
56,3136,6.0,60.0,3,394500.0,2.0,0,1,0
21,441,7.0,60.0,3,131500.0,2.0,0,0,0
20,400,12.0,60.0,9,263000.0,2.0,1,0,1
43,1849,12.0,40.0,4,789000.0,1.0,0,1,1
41,1681,17.0,40.0,4,657500.0,6.0,1,1,1
41,1681,7.0,48.0,3,1052000.0,11.0,0,1,1
39,1521,15.0,48.0,3,1052000.0,12.0,1,1,1
36,1296,12.0,50.0,4,460250.0,6.0,1,1,1
36,1296,14.0,50.0,4,1117750.0,9.0,0,1,1
46,2116,17.0,70.0,5,1315000.0,8.0,1,1,1
47,2209,12.0,70.0,5,1315000.0,8.0,0,1,1
23,529,12.0,6.0,3,52600.0,1.0,0,1,0
50,2500,16.0,12.0,4,723250.0,7.0,0,1,1
33,1089,7.0,10.0,4,263000.0,10.0,1,0,0
34,1156,17.0,35.0,3,1972500.0,10.0,0,1,1
33,1089,17.0,35.0,3,1183500.0,10.0,1,1,1
35,1225,12.0,30.0,4,486550.0,8.0,1,1,1
43,1849,17.0,35.0,4,2630000.0,1.0,0,1,1
32,1024,12.0,40.0,3,1052000.0,11.0,1,0,1
40,1600,10.0,56.0,4,1183500.0,5.0,0,1,1
29,841,9.0,48.0,3,460250.0,3.0,0,1,0
26,676,12.0,48.0,3,223550.0,1.0,1,1,0
60,3600,8.0,42.0,6,236700.0,3.0,0,1,0
55,3025,8.0,42.0,6,552300.0,7.0,1,1,1
29,841,12.0,42.0,6,223550.0,3.0,1,0,0
27,729,8.0,42.0,6,197250.0,3.0,1,0,0
37,1369,12.0,56.0,4,526000.0,1.0,1,1,1
43,1849,18.0,45.0,1,4339500.0,12.0,0,0,1
33,1089,12.0,30.0,4,1972500.0,11.0,0,0,1
43,1849,12.0,48.0,3,631200.0,8.0,1,0,1
39,1521,15.0,40.0,4,920500.0,9.0,0,1,1
51,2601,17.0,50.0,1,2630000.0,2.0,1,0,1
20,400,12.0,60.0,8,328750.0,1.0,0,0,1
19,361,12.0,60.0,8,473400.0,5.0,0,0,1
25,625,15.0,48.0,1,986250.0,6.0,0,0,1
36,1296,12.0,52.0,4,657500.0,1.0,1,1,1
62,3844,10.0,40.0,1,394500.0,1.0,0,1,0
42,1764,12.0,48.0,2,986250.0,7.0,0,1,1
54,2916,12.0,50.0,1,1446500.0,7.0,0,0,1
71,5041,15.0,23.0,1,1157200.0,9.0,1,0,1
21,441,9.0,48.0,1,657500.0,12.0,0,0,1
35,1225,17.0,48.0,4,1972500.0,1.0,0,1,0
31,961,17.0,44.0,1,1315000.0,7.0,1,0,1
39,1521,15.0,45.0,1,1078300.0,7.0,0,0,1
69,4761,12.0,30.0,2,263000.0,1.0,1,1,1
63,3969,15.0,40.0,2,657500.0,12.0,0,1,1
63,3969,15.0,40.0,2,657500.0,12.0,1,1,1
47,2209,15.0,60.0,4,1709500.0,9.0,0,1,1
39,1521,13.0,60.0,4,1709500.0,9.0,1,1,1
59,3481,15.0,50.0,3,789000.0,4.0,1,1,1
34,1156,12.0,45.0,2,1578000.0,10.0,0,0,1
42,1764,6.0,45.0,2,1709500.0,10.0,0,0,1
48,2304,12.0,35.0,3,1315000.0,11.0,0,1,1
42,1764,12.0,35.0,3,657500.0,8.0,1,1,1
35,1225,12.0,45.0,2,1315000.0,2.0,0,1,0
